score,0.14117647058823529
goods1_id,1743
goods2_id,1554186
goods1_name,"Настойка горькая ""Три старика"" 0,5"
goods2_name,"Пиво ""Пенза"""
price1,740.0
price2,600.0
shop_id,10171
