score,0.12786885245901639
goods1_id,3273526
goods2_id,1792021
goods1_name,Бедро ЦБ охл.(пакет)
goods2_name,Фарш куриный натуральный охл. (пакет)
price1,110.0
price2,310.0
shop_id,58864
